AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn,Retention
42,11.32195032980162,475.5219138516681,Basic,Electronic check,Yes,Movies,Yes,Tablet,0.3868523189909584,24.59336128901439,25,Comedy,3.489464519485509,7,Female,15,No,No,LOHRYYC9E8,0,1
95,12.8109146006735,1217.0368870639825,Standard,Electronic check,Yes,TV Shows,No,Mobile,37.122999911467,102.86079509716252,21,Comedy,2.251859954914927,3,Male,8,No,Yes,RIH7RFEZCS,0,1
6,12.169887642924763,91.58330353602958,Standard,Credit card,Yes,TV Shows,No,Tablet,30.7169444023015,10.51241512260625,29,Fantasy,2.898327886528814,4,Male,14,No,Yes,JB5J8X2UY1,1,0
54,17.917818962876396,967.5622239953254,Basic,Missing,Yes,Movies,No,Mobile,2.4953729601821766,45.24683449226995,45,Drama,1.275003599306649,3,Male,12,No,Yes,Z4GZJIB90P,0,1
27,12.169887642924763,339.05724384123715,Basic,Mailed check,No,TV Shows,No,Mobile,39.93691005346959,94.31095420850131,44,Comedy,3.236229818039165,4,Female,18,No,Yes,B3BDJTW0L9,0,1
71,12.169887642924763,818.2870537568413,Premium,Credit card,No,Movies,Yes,Computer,7.310172114483848,123.28079409280006,30,Comedy,2.7796143639640785,6,Female,16,Yes,Yes,5E4TQK5OVX,0,1
69,17.145910434759166,1183.0678199983824,Basic,Missing,No,Movies,Yes,Mobile,19.008899942021955,86.12255889350608,35,Sci-Fi,4.933494480322786,6,Female,5,No,Yes,8VFNZ1M1I9,1,0
76,17.46187534634668,1327.1025263223478,Premium,Electronic check,No,Movies,Yes,Mobile,24.429413494384104,137.5578744789226,32,Fantasy,2.1547371507439013,9,Female,11,Yes,Yes,THKWUHOGUL,0,1
8,12.169887642924763,614.1966063716278,Premium,Electronic check,No,Both,Yes,Computer,15.488912506556066,137.55294155226025,16,Fantasy,2.898327886528814,3,Female,2,No,Yes,IGZ39O1ROC,0,1
26,19.69926162787429,512.1808023247314,Premium,Credit card,Yes,Both,Yes,Missing,2.1217624569231868,164.0736426680405,44,Drama,1.72570039826283,4,Male,16,Yes,Yes,JHTQYVGRR4,1,0
102,12.169887642924763,1954.784655794702,Premium,Missing,No,Movies,Yes,Mobile,38.91923861703344,5.028411809068291,29,Missing,2.683852930153724,6,Male,19,Yes,Yes,W636FZ4VNV,1,0
101,12.169887642924763,639.2830572377612,Standard,Electronic check,No,Both,No,Computer,16.06235631667653,74.34797146927649,11,Drama,3.836933094328382,2,Female,12,Yes,Yes,CAS3XBFUJG,0,1
83,9.270358698753164,769.4397719965126,Standard,Electronic check,No,Movies,Yes,Tablet,10.008655029706922,25.531249352094232,32,Action,2.5519762065415463,9,Male,17,No,Yes,Y66SW76TPC,1,0
10,8.078494236284286,614.1966063716278,Standard,Mailed check,No,TV Shows,No,Mobile,29.184743436936618,155.7927759665253,0,Fantasy,2.898327886528814,2,Female,2,No,Yes,BEREY4ZEQN,0,1
8,5.72871245000111,45.82969960000888,Standard,Credit card,No,Movies,Yes,Computer,39.391883816119766,66.40771735757477,38,Drama,2.898327886528814,0,Female,18,No,Yes,ORSECJMYNH,0,1
6,13.765035665546437,614.1966063716278,Premium,Electronic check,Yes,Both,Yes,Mobile,7.054925488966616,45.614267199032,22,Action,3.834114298091446,1,Female,7,No,Yes,HI8VKLPO25,0,1
2,12.169887642924763,15.637027909928785,Standard,Credit card,No,TV Shows,No,Tablet,39.36300166387026,55.83542583110676,43,Comedy,2.0293354975564264,4,Male,6,No,Yes,6RWHGUCAB4,0,1
83,16.263146505136994,1349.8411599263704,Premium,Bank transfer,No,TV Shows,No,Missing,6.3726074194387925,128.5922697932727,23,Sci-Fi,2.898327886528814,7,Male,13,Yes,Yes,7CC943AY0R,0,1
23,13.95714485592174,321.0143316862,Premium,Missing,Yes,Both,No,Tablet,13.16752730588239,80.1188619906361,0,Comedy,1.8648241717764984,8,Male,1,No,Yes,Y7COZUAXRR,0,1
23,12.169887642924763,145.23511010410198,Standard,Missing,Yes,Both,No,Tablet,19.630860220030947,64.04791230426866,27,Action,1.742696347909828,9,Female,23,No,Yes,7O0U49OF9M,0,1
24,12.169887642924763,310.46702447500434,Standard,Missing,Yes,Both,No,TV,15.431673030605808,65.11007500357869,31,Sci-Fi,2.898327886528814,1,Male,16,No,Yes,KWCJPZTMBZ,1,0
87,15.000899788532776,1305.0782816023516,Missing,Bank transfer,Yes,TV Shows,Yes,TV,37.83699164157948,121.85215558143412,29,Action,4.647866618430838,4,Female,13,No,Yes,A92ZOG2V1J,0,1
63,6.635013133011577,614.1966063716278,Premium,Credit card,No,TV Shows,Yes,Mobile,35.34919183774297,172.6618112615645,32,Comedy,1.0117453569134436,6,Female,20,No,Yes,RZUWX2CJ0Q,0,1
78,19.852110570721035,1548.4646245162407,Basic,Electronic check,Yes,Movies,No,TV,29.40402475928132,80.22383068354559,13,Missing,2.2747220054131154,2,Male,0,Yes,Yes,VJN9GFI0OP,0,1
97,13.48847457664928,1308.3820339349802,Standard,Mailed check,Yes,TV Shows,Yes,TV,23.75808451173184,56.56707686243463,20,Action,2.898327886528814,7,Male,3,No,Yes,LNQN935XS9,1,0
2,15.426668190323372,30.853336380646745,Premium,Electronic check,No,TV Shows,No,Mobile,31.323503280378333,152.0381778776287,41,Comedy,2.597518511086008,3,Male,24,Yes,Yes,S0QK1ZQ4ZB,0,1
85,15.034775599045052,614.1966063716278,Premium,Mailed check,Yes,Both,Yes,TV,10.55981728464131,69.41633740528245,37,Drama,4.270866362857641,2,Female,21,No,Yes,X0MDEL63NZ,0,1
89,15.37183293775692,614.1966063716278,Standard,Missing,No,Both,No,Mobile,30.170199239850984,176.56925376817549,41,Comedy,1.0694673415242488,6,Female,5,No,Yes,4T29LDSLLN,0,1
77,7.780374374436769,599.0888268316312,Basic,Missing,Yes,TV Shows,Yes,Computer,23.81261425762337,62.44375432751656,28,Action,4.792037837995127,4,Female,0,Yes,Yes,318N9SO05V,1,0
113,19.61499197448325,2216.494093116607,Basic,Credit card,No,TV Shows,No,Mobile,29.14664661143008,83.65440622475244,24,Fantasy,3.18802084888976,3,Male,8,Yes,Yes,CBDV730UOG,0,1
8,12.169887642924763,51.21753685131792,Premium,Mailed check,No,Both,Yes,Tablet,31.286757599044304,54.57718275763445,47,Missing,4.568875141081065,0,Female,8,No,Yes,VCB3X9ZM3S,0,1
103,10.72652906711127,1104.832493912461,Standard,Bank transfer,Yes,TV Shows,Yes,TV,20.755264400793383,115.098616798753,15,Drama,2.087612906686388,9,Male,11,No,Yes,4TXBLWD375,0,1
76,8.794010017425707,614.1966063716278,Basic,Missing,No,Movies,Yes,Mobile,24.40932020191881,161.45067852325676,27,Fantasy,1.274403987642387,0,Male,13,No,Yes,J2ZTONJLMC,0,1
106,14.24087124250168,1509.532351705178,Standard,Credit card,No,TV Shows,No,Computer,15.288274315885134,59.98049838247941,35,Fantasy,2.898327886528814,3,Male,13,No,Yes,0KJGVNJL8N,0,1
7,12.493820459927742,87.45674321949419,Premium,Missing,Yes,Movies,No,Tablet,14.224183704705103,95.4209057512576,36,Action,4.337422212878522,6,Male,4,No,Yes,5JBY0JE8LF,0,1
